Order Number,SKU,SKU Description,Prime Line Number,orderline_units_sold,Total without tax,Fulfillment Method,Ship Node Description,Order Date,Ship ZIP,Ship Latitude,Ship Longitude,Order line status,Shipment status Ship Date
2220000,SKU026304,sku_description_26304,1,4,813.2,BOPIS,Store E,7/27/2025,30303,33.749,-84.388,Shipped,7/31/2025
2220000,SKU011795,sku_description_11795,2,1,377.79,BOPIS,Store E,7/27/2025,30303,33.749,-84.388,Shipped,7/31/2025
2220000,SKU003159,sku_description_3159,3,2,1320.64,BOPIS,Store E,7/27/2025,30303,33.749,-84.388,Shipped,7/29/2025
2220000,SKU036202,sku_description_36202,4,2,1202.68,BOPIS,Store E,7/27/2025,30303,33.749,-84.388,Shipped,7/30/2025
2220000,SKU023646,sku_description_23646,5,3,1611.24,BOPIS,Store E,7/27/2025,30303,33.749,-84.388,Shipped,7/30/2025
2220001,SKU024484,sku_description_24484,1,4,1164.84,BOPIS,Store D,11/10/2025,15222,40.4406,-79.9959,Shipped,11/14/2025
2220001,SKU017249,sku_description_17249,2,2,1312.9,BOPIS,Store D,11/10/2025,15222,40.4406,-79.9959,Shipped,11/13/2025
2220001,SKU029863,sku_description_29863,3,2,367.04,BOPIS,Store D,11/10/2025,15222,40.4406,-79.9959,Shipped,11/14/2025
2220001,SKU000658,sku_description_658,4,1,292.38,BOPIS,Store D,11/10/2025,15222,40.4406,-79.9959,Shipped,11/13/2025
2220001,SKU006354,sku_description_6354,5,3,1370.04,BOPIS,Store D,11/10/2025,15222,40.4406,-79.9959,Shipped,11/14/2025
2220001,SKU029135,sku_description_29135,6,3,2033.91,BOPIS,Store D,11/10/2025,15222,40.4406,-79.9959,Shipped,11/13/2025
2220002,SKU001228,sku_description_1228,1,3,664.65,STH,Store F,9/26/2025,49312,47.110627,-92.054657,Cancelled,
2220002,SKU042749,sku_description_42749,2,2,862.44,STH,Store F,9/26/2025,49312,47.110627,-92.054657,Cancelled,
2220002,SKU033723,sku_description_33723,3,3,1385.34,STH,Store F,9/26/2025,49312,47.110627,-92.054657,Cancelled,
