Order Number,SKU,SKU Description,Prime Line Number,orderline_units_sold,Total without tax,Fulfillment Method,Ship Node Description,Order Date,Ship ZIP,Ship Latitude,Ship Longitude,Order line status,Shipment status Ship Date
2220000,SKU026304,sku_description_26304,1,4,813.2,BOPIS,Store E,07/27/2025,30303,33.749,-84.388,Shipped,07/31/2025
2220000,SKU011795,sku_description_11795,2,1,377.79,BOPIS,Store E,07/27/2025,30303,33.749,-84.388,Shipped,07/31/2025
2220000,SKU003159,sku_description_3159,3,2,1320.64,BOPIS,Store E,07/27/2025,30303,33.749,-84.388,Shipped,07/29/2025
2220000,SKU036202,sku_description_36202,4,2,1202.68,BOPIS,Store E,07/27/2025,30303,33.749,-84.388,Shipped,07/30/2025
2220000,SKU023646,sku_description_23646,5,3,1611.24,BOPIS,Store E,07/27/2025,30303,33.749,-84.388,Shipped,07/30/2025
2220001,SKU024484,sku_description_24484,1,4,1164.84,BOPIS,Store D,11/10/2025,15222,40.4406,-79.9959,Shipped,11/14/2025
2220001,SKU017249,sku_description_17249,2,2,1312.9,BOPIS,Store D,11/10/2025,15222,40.4406,-79.9959,Shipped,11/13/2025
2220001,SKU029863,sku_description_29863,3,2,367.04,BOPIS,Store D,11/10/2025,15222,40.4406,-79.9959,Shipped,11/14/2025
2220001,SKU000658,sku_description_658,4,1,292.38,BOPIS,Store D,11/10/2025,15222,40.4406,-79.9959,Shipped,11/13/2025
2220001,SKU006354,sku_description_6354,5,3,1370.04,BOPIS,Store D,11/10/2025,15222,40.4406,-79.9959,Shipped,11/14/2025
2220001,SKU029135,sku_description_29135,6,3,2033.91,BOPIS,Store D,11/10/2025,15222,40.4406,-79.9959,Shipped,11/13/2025
2220004,SKU038980,sku_description_38980,1,1,798.88,BOPIS,Store I,11/28/2025,28202,35.2271,-80.8431,Shipped,12/01/2025
2220004,SKU036113,sku_description_36113,2,2,1032.78,BOPIS,Store I,11/28/2025,28202,35.2271,-80.8431,Shipped,11/29/2025
2220004,SKU018767,sku_description_18767,3,4,2007.32,BOPIS,Store I,11/28/2025,28202,35.2271,-80.8431,Shipped,12/03/2025
2220004,SKU033326,sku_description_33326,4,3,2364.57,BOPIS,Store I,11/28/2025,28202,35.2271,-80.8431,Shipped,12/03/2025
2220005,SKU024814,sku_description_24814,1,4,1244.76,STH,Store I,06/20/2025,62116,46.968689,-122.542089,Shipped,06/25/2025
2220005,SKU032791,sku_description_32791,2,1,8.51,STH,Store I,06/20/2025,62116,46.968689,-122.542089,Shipped,06/22/2025
2220005,SKU036811,sku_description_36811,3,4,2203.72,STH,Store I,06/20/2025,62116,46.968689,-122.542089,Shipped,06/23/2025
2220005,SKU016859,sku_description_16859,4,4,2648.52,STH,Store I,06/20/2025,62116,46.968689,-122.542089,Shipped,06/24/2025
2220006,SKU038572,sku_description_38572,1,3,141.57,BOPIS,Store C,03/30/2025,48226,42.3314,-83.0458,Shipped,04/04/2025
2220008,SKU003420,sku_description_3420,1,1,14.46,STH,Store D,09/10/2025,31401,42.908542,-100.995526,Shipped,09/14/2025
2220008,SKU013754,sku_description_13754,2,2,379.86,STH,Store D,09/10/2025,31401,42.908542,-100.995526,Shipped,09/15/2025
2220008,SKU014015,sku_description_14015,3,4,858.32,STH,Store D,09/10/2025,31401,42.908542,-100.995526,Shipped,09/11/2025
2220008,SKU030593,sku_description_30593,4,2,429.58,STH,Store D,09/10/2025,31401,42.908542,-100.995526,Shipped,09/11/2025
2220008,SKU003998,sku_description_3998,5,4,1269.88,STH,Store D,09/10/2025,31401,42.908542,-100.995526,Shipped,09/15/2025
2220008,SKU042342,sku_description_42342,6,1,730.71,STH,Store D,09/10/2025,31401,42.908542,-100.995526,Shipped,09/11/2025
2220009,SKU012691,sku_description_12691,1,1,474.45,STH,Store I,03/12/2025,07486,36.228381,-86.885242,Shipped,03/14/2025
2220013,SKU038232,sku_description_38232,1,1,459.96,STH,Store C,03/23/2025,96931,39.563146,-97.773716,Shipped,03/24/2025
2220013,SKU001593,sku_description_1593,2,1,105.33,STH,Store C,03/23/2025,96931,39.563146,-97.773716,Shipped,03/26/2025
2220013,SKU042220,sku_description_42220,3,1,761.0,STH,Store C,03/23/2025,96931,39.563146,-97.773716,Shipped,03/26/2025
2220013,SKU041735,sku_description_41735,4,2,817.58,STH,Store C,03/23/2025,96931,39.563146,-97.773716,Shipped,03/28/2025
2220013,SKU014465,sku_description_14465,5,2,1576.78,STH,Store C,03/23/2025,96931,39.563146,-97.773716,Shipped,03/26/2025
2220013,SKU000244,sku_description_244,6,2,596.04,STH,Store C,03/23/2025,96931,39.563146,-97.773716,Shipped,03/25/2025
2220014,SKU031246,sku_description_31246,1,1,528.49,STH,Store C,01/02/2025,89634,33.931605,-67.959242,Shipped,01/06/2025
2220014,SKU034256,sku_description_34256,2,1,275.31,STH,Store C,01/02/2025,89634,33.931605,-67.959242,Shipped,01/07/2025
2220014,SKU035845,sku_description_35845,3,4,1610.08,STH,Store C,01/02/2025,89634,33.931605,-67.959242,Shipped,01/06/2025
2220014,SKU017737,sku_description_17737,4,4,2178.08,STH,Store C,01/02/2025,89634,33.931605,-67.959242,Shipped,01/05/2025
2220015,SKU014039,sku_description_14039,1,1,420.61,STH,Store I,10/20/2025,09754,45.397383,-101.480528,Shipped,10/21/2025
2220015,SKU040275,sku_description_40275,2,1,543.47,STH,Store I,10/20/2025,09754,45.397383,-101.480528,Shipped,10/24/2025
2220015,SKU027000,sku_description_27000,3,2,166.94,STH,Store I,10/20/2025,09754,45.397383,-101.480528,Shipped,10/22/2025
2220015,SKU017149,sku_description_17149,4,3,896.7,STH,Store I,10/20/2025,09754,45.397383,-101.480528,Shipped,10/25/2025
2220015,SKU001927,sku_description_1927,5,3,1415.4,STH,Store I,10/20/2025,09754,45.397383,-101.480528,Shipped,10/21/2025
2220018,SKU001184,sku_description_1184,1,2,1491.66,BOPIS,Store D,09/16/2025,15222,40.4406,-79.9959,Shipped,09/17/2025
2220018,SKU006680,sku_description_6680,2,1,423.48,BOPIS,Store D,09/16/2025,15222,40.4406,-79.9959,Shipped,09/18/2025
2220019,SKU031032,sku_description_31032,1,3,2189.04,STH,Store C,07/06/2025,75037,42.314529,-88.568056,Shipped,07/09/2025
2220019,SKU034499,sku_description_34499,2,3,1577.01,STH,Store C,07/06/2025,75037,42.314529,-88.568056,Shipped,07/09/2025
2220019,SKU039084,sku_description_39084,3,1,95.89,STH,Store C,07/06/2025,75037,42.314529,-88.568056,Shipped,07/09/2025
2220019,SKU003077,sku_description_3077,4,1,757.55,STH,Store C,07/06/2025,75037,42.314529,-88.568056,Shipped,07/09/2025
2220019,SKU006012,sku_description_6012,5,3,1964.4,STH,Store C,07/06/2025,75037,42.314529,-88.568056,Shipped,07/07/2025
2220019,SKU034256,sku_description_34256,6,3,825.93,STH,Store C,07/06/2025,75037,42.314529,-88.568056,Shipped,07/09/2025
2220019,SKU013921,sku_description_13921,7,3,422.94,STH,Store C,07/06/2025,75037,42.314529,-88.568056,Shipped,07/07/2025
